timestamp,attacco,targeted,target_class,strength_name,strength_values,accuracy_values,constant_values,avg_perturbations,accuracy_on_target_class
2024-06-25 06:06:26,C&W,False,,binary_search_steps,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[0.8807615230460922, 0.45791583166332667, 0.6412825651302605, 0.7755511022044088, 0.8466933867735471, 0.8707414829659319, 0.8717434869739479, 0.874749498997996, 0.874749498997996]","{""confidence"": 0.5, ""max_iter"": 5, ""learning_rate"": 0.01, ""initial_const"": 1000}","[0, 0.02, 0.01, 0.005, 0.003, 0.001, 0.001, 0.0, 0.0]",
2024-06-25 08:02:44,C&W,False,,confidence,"[0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[0.8807615230460922, 0.5230460921843687, 0.49498997995991983, 0.47194388777555113, 0.4649298597194389, 0.45791583166332667, 0.45791583166332667, 0.4589178356713427, 0.45691382765531063, 0.45791583166332667, 0.45490981963927857]","{""binary_search_steps"": 1, ""max_iter"": 5, ""learning_rate"": 0.01, ""initial_const"": 1000}","[0, 0.016, 0.018, 0.019, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02]",
2024-06-25 10:02:09,C&W,False,,lr,"[0.0, 0.01, 0.02, 0.03, 0.04, 0.05, 0.06, 0.07, 0.08, 0.09, 0.1]","[0.8807615230460922, 0.46092184368737477, 0.33567134268537074, 0.3026052104208417, 0.30861723446893785, 0.30561122244488975, 0.2995991983967936, 0.3046092184368738, 0.30360721442885774, 0.3026052104208417, 0.30561122244488975]","{""binary_search_steps"": 1, ""confidence"": 0.5, ""max_iter"": 5, ""initial_const"": 1000}","[0, 0.02, 0.029, 0.031, 0.031, 0.031, 0.031, 0.031, 0.031, 0.031, 0.031]",
2024-06-25 12:00:11,C&W,False,,ic,"[0.0, 100, 200, 300, 400, 500, 600, 700, 800, 900, 1000]","[0.8807615230460922, 0.8537074148296593, 0.7995991983967936, 0.749498997995992, 0.688376753507014, 0.6422845691382766, 0.6102204408817635, 0.5591182364729459, 0.5180360721442886, 0.4779559118236473, 0.45691382765531063]","{""binary_search_steps"": 1, ""confidence"": 0.5, ""max_iter"": 5, ""learning_rate"": 0.01}","[0, 0.002, 0.004, 0.006, 0.008, 0.01, 0.012, 0.014, 0.016, 0.018, 0.02]",
2024-06-25 13:20:03,C&W,False,,mi,"[0.0, 5, 6, 7, 8, 9]","[0.8807615230460922, 0.46092184368737477, 0.45991983967935873, 0.45991983967935873, 0.4589178356713427, 0.45991983967935873]","{""binary_search_steps"": 1, ""confidence"": 0.5, ""learning_rate"": 0.01, ""initial_const"": 1000}","[0, 0.02, 0.02, 0.02, 0.02, 0.02]",
2024-06-25 22:25:56,C&W,True,0,binary_search_steps,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[0.8807615230460922, 0.24348697394789579, 0.36773547094188375, 0.47695390781563124, 0.503006012024048, 0.5230460921843687, 0.5360721442885772, 0.5511022044088176, 0.5511022044088176]","{""confidence"": 0.5, ""max_iter"": 5, ""learning_rate"": 0.01, ""initial_const"": 1000}","[0, 0.232, 0.229, 0.23, 0.229, 0.223, 0.223, 0.225, 0.218]","[0, 0.0, 0.0, 0.002, 0.003, 0.003, 0.005, 0.003, 0.0]"
2024-06-26 00:07:11,C&W,True,0,confidence,"[0.0, 0.1, 0.2, 0.3, 0.4, 0.5, 0.6, 0.7, 0.8, 0.9, 1.0]","[0.8807615230460922, 0.2755511022044088, 0.27054108216432865, 0.25851703406813625, 0.2605210420841683, 0.24849699398797595, 0.24148296593186372, 0.23647294589178355, 0.21643286573146292, 0.20340681362725452, 0.21643286573146292]","{""binary_search_steps"": 1, ""max_iter"": 5, ""learning_rate"": 0.01, ""initial_const"": 1000}","[0, 0.23, 0.235, 0.232, 0.227, 0.232, 0.234, 0.228, 0.229, 0.23, 0.234]","[0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024-06-26 01:51:14,C&W,True,0,lr,"[0.0, 0.01, 0.02, 0.03, 0.04, 0.05, 0.06, 0.07, 0.08, 0.09, 0.1]","[0.8807615230460922, 0.24248496993987975, 0.16032064128256512, 0.1533066132264529, 0.14529058116232466, 0.1492985971943888, 0.13827655310621242, 0.15030060120240482, 0.1342685370741483, 0.1432865731462926, 0.13627254509018036]","{""binary_search_steps"": 1, ""confidence"": 0.5, ""max_iter"": 5, ""initial_const"": 1000}","[0, 0.231, 0.233, 0.233, 0.236, 0.238, 0.239, 0.238, 0.233, 0.238, 0.236]","[0, 0.002, 0.0, 0.0, 0.002, 0.002, 0.0, 0.0, 0.0, 0.002, 0.002]"
2024-06-26 03:34:06,C&W,True,0,ic,"[0.0, 100, 200, 300, 400, 500, 600, 700, 800, 900, 1000]","[0.8807615230460922, 0.5130260521042084, 0.5190380761523046, 0.47194388777555113, 0.44288577154308617, 0.39478957915831664, 0.35470941883767537, 0.32064128256513025, 0.2905811623246493, 0.2535070140280561, 0.25250501002004005]","{""binary_search_steps"": 1, ""confidence"": 0.5, ""max_iter"": 5, ""learning_rate"": 0.01}","[0, 0.225, 0.226, 0.226, 0.229, 0.228, 0.229, 0.226, 0.228, 0.231, 0.228]","[0, 0.0, 0.004, 0.003, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
2024-06-26 04:45:23,C&W,True,0,mi,"[0.0, 5, 6, 7, 8, 9]","[0.8807615230460922, 0.2635270541082164, 0.280561122244489, 0.30060120240480964, 0.29759519038076154, 0.30060120240480964]","{""binary_search_steps"": 1, ""confidence"": 0.5, ""learning_rate"": 0.01, ""initial_const"": 1000}","[0, 0.227, 0.221, 0.222, 0.219, 0.219]","[0, 0.0, 0.0, 0.0, 0.0, 0.0]"